,name,url
214,Sushi Bar,/biz/sushi-bar-paris-7?osq=restaurant+japonais
215,Koshi,/biz/koshi-paris?osq=restaurant+japonais
216,Yoshi World,/biz/yoshi-world-paris?osq=restaurant+japonais
217,Japorama,/biz/japorama-paris-4?osq=restaurant+japonais
218,Samouraï,/biz/samoura%C3%AF-paris-3?osq=restaurant+japonais
219,Toyotaka,/biz/toyotaka-paris?osq=restaurant+japonais
220,New Yoko,/biz/new-yoko-paris?osq=restaurant+japonais
221,Fuugaya,/biz/fuugaya-paris?osq=restaurant+japonais
222,Goosushi,/biz/goosushi-paris-2?osq=restaurant+japonais
223,Sushi Asia,/biz/sushi-asia-paris?osq=restaurant+japonais
224,Sayuri,/biz/sayuri-montrouge?osq=restaurant+japonais
225,Sushisaka,/biz/sushisaka-paris?osq=restaurant+japonais
226,Udon Jubey,/biz/udon-jubey-paris-2?osq=restaurant+japonais
227,Arashi Yama,/biz/arashi-yama-paris?osq=restaurant+japonais
228,Naoki,/biz/naoki-paris?osq=restaurant+japonais
229,Uma,/biz/uma-paris-6?osq=restaurant+japonais
230,Ichiban,/biz/ichiban-paris-3?osq=restaurant+japonais
231,Yokohama,/biz/yokohama-asnieres-sur-seine?osq=restaurant+japonais
232,Sushi Ren,/biz/sushi-ren-paris?osq=restaurant+japonais
233,Sushirama,/biz/sushirama-paris-2?osq=restaurant+japonais
234,Sushi Passy,/biz/sushi-passy-paris-2?osq=restaurant+japonais
235,Wakaba,/biz/wakaba-paris?osq=restaurant+japonais
236,Sushi Itouya,/biz/sushi-itouya-paris-17?osq=restaurant+japonais
237,Botan de la Vigne,/biz/botan-de-la-vigne-paris?osq=restaurant+japonais
238,Inagiku,/biz/inagiku-paris?osq=restaurant+japonais
239,Isumo,/biz/isumo-paris-2?osq=restaurant+japonais
